symbol,window,train_start,test_start,test_end,best_params,train_score,test_trades,test_win_rate,test_expectancy_r,test_profit_factor,test_net_profit,test_max_drawdown,test_sharpe
USDJPY,9,2024-08-12,2025-08-12,2025-11-12,"{""risk.min_r_cost_multiple"": 4}",0.09998390595396452,48,0.6666666666666666,0.020570940040869744,1.0452977390800833,809.9464691216854,9475.809814717228,0.30912727825878755
USDJPY,10,2024-11-12,2025-11-12,2026-02-12,"{""risk.min_r_cost_multiple"": 4}",0.04243153236866014,33,0.8181818181818182,0.22015782063551456,2.500920144797663,7460.861596691393,4790.94259849246,3.336498830857643
USDJPY,11,2025-02-12,2026-02-12,2026-05-12,"{""risk.min_r_cost_multiple"": 8}",0.08238940077327399,8,1.0,0.6038602957805624,inf,4931.648373772798,494.5652173913113,4.996422483539292
XAUUSD,0,2022-05-12,2023-05-12,2023-08-12,"{""risk.min_r_cost_multiple"": 2}",0.2469840577315997,48,0.6458333333333334,0.12870905533217053,1.2929745691499412,6074.1494813382305,4476.621676961178,1.4530811912132504
XAUUSD,1,2022-08-12,2023-08-12,2023-11-12,"{""risk.min_r_cost_multiple"": 2}",0.20382204135954152,38,0.5526315789473685,-0.061778293606385926,0.8765962960908203,-2582.531516298681,8205.315955230253,-0.5583715368999781
XAUUSD,2,2022-11-12,2023-11-12,2024-02-12,"{""risk.min_r_cost_multiple"": 8}",0.2501232036259553,22,0.5454545454545454,-0.1934885757748784,0.5665340179023152,-4237.291059263051,5155.186314688195,-2.2960093142013536
XAUUSD,3,2023-02-12,2024-02-12,2024-05-12,"{""risk.min_r_cost_multiple"": 8}",0.10822963869962228,24,0.7916666666666666,0.24710169286450734,2.1004464956712807,6027.487332821591,2520.0691702356853,2.44044366118022
XAUUSD,4,2023-05-12,2024-05-12,2024-08-12,"{""risk.min_r_cost_multiple"": 8}",0.17603184599698912,36,0.75,0.14884591856803867,1.5548654625412914,5394.194895926179,2656.172852288495,2.1376728877224944
XAUUSD,5,2023-08-12,2024-08-12,2024-11-12,"{""risk.min_r_cost_multiple"": 8}",0.1382368741519783,39,0.8205128205128205,0.30058191229735554,2.5679155975951917,12304.15468525869,2891.571325222263,4.252903982091592
XAUUSD,6,2023-11-12,2024-11-12,2025-02-12,"{""risk.min_r_cost_multiple"": 4}",0.17497409745371695,47,0.7021276595744681,0.28554166064174075,1.9137097225250135,14023.359864010272,4127.360748053106,3.0561404776660317
XAUUSD,7,2024-02-12,2025-02-12,2025-05-12,"{""risk.min_r_cost_multiple"": 6}",0.2741917583840955,47,0.8085106382978723,0.27554858564609025,2.2715590110769703,13669.162525740408,3511.590919094786,4.6720334097202105
XAUUSD,8,2024-05-12,2025-05-12,2025-08-12,"{""risk.min_r_cost_multiple"": 6}",0.2912312210541887,38,0.5789473684210527,-0.036712354028712035,0.9014149653589539,-1530.9303600095445,5539.996952846937,-0.3794557480614673
XAUUSD,9,2024-08-12,2025-08-12,2025-11-12,"{""risk.min_r_cost_multiple"": 6}",0.2417700409333724,51,0.6274509803921569,0.09863289345748753,1.2405238900127138,4911.088424033209,5264.514276552931,1.2830193027822239
XAUUSD,10,2024-11-12,2025-11-12,2026-02-12,"{""risk.min_r_cost_multiple"": 6}",0.16065303695416291,66,0.7272727272727273,0.34726938725823897,2.212749655675566,25194.66996584546,3764.1604476067587,4.476683515728039
XAUUSD,11,2025-02-12,2026-02-12,2026-05-12,"{""risk.min_r_cost_multiple"": 8}",0.19154751286494875,49,0.6530612244897959,0.1614221540390206,1.4485703817783242,7991.54035602558,6040.278650397988,2.164542134181107
NAS100,0,2022-05-12,2023-05-12,2023-08-12,"{""risk.min_r_cost_multiple"": 8}",0.2152190246425367,32,0.59375,-0.00890490491000874,0.9688948458598166,-431.5332051809237,4309.984997585256,-0.08346975805147712
NAS100,1,2022-08-12,2023-08-12,2023-11-12,"{""risk.min_r_cost_multiple"": 6}",0.12544292911055505,36,0.6388888888888888,0.2312309457006528,1.5487952244148036,8382.149507793714,4294.614073166464,2.113180093843625
