h1_close_time,direction,trigger_high,trigger_low,prev_high,prev_low,range_pips
2026-03-09 01:00:00+00:00,bearish,158.735,158.57,158.694,158.305,38.9
2026-03-09 02:00:00+00:00,bearish,158.76,158.633,158.735,158.57,16.5
2026-03-09 04:00:00+00:00,bullish,158.869,158.654,158.898,158.658,24.0
2026-03-09 07:00:00+00:00,bearish,158.656,158.402,158.642,158.359,28.3
2026-03-09 09:00:00+00:00,bullish,158.647,158.19,158.687,158.357,33.0
2026-03-09 12:00:00+00:00,bullish,158.598,158.349,158.507,158.368,13.9
2026-03-09 16:00:00+00:00,bullish,158.224,157.971,158.396,157.997,39.9
2026-03-09 19:00:00+00:00,bearish,158.415,157.641,158.407,158.243,16.4
2026-03-09 20:00:00+00:00,bullish,157.918,157.627,158.415,157.641,77.4
2026-03-09 21:00:00+00:00,bullish,157.725,157.608,157.918,157.627,29.1
2026-03-09 23:00:00+00:00,bearish,157.954,157.759,157.903,157.63,27.3
2026-03-10 01:00:00+00:00,bullish,157.773,157.531,157.947,157.563,38.4
2026-03-10 09:00:00+00:00,bearish,157.721,157.547,157.712,157.296,41.6
2026-03-10 11:00:00+00:00,bullish,157.838,157.64,157.893,157.661,23.2
2026-03-10 12:00:00+00:00,bearish,157.976,157.759,157.838,157.64,19.8
2026-03-10 13:00:00+00:00,bullish,157.866,157.656,157.976,157.759,21.7
2026-03-10 16:00:00+00:00,bullish,157.706,157.529,157.762,157.548,21.4
2026-03-10 17:00:00+00:00,bullish,157.651,157.402,157.706,157.529,17.7
2026-03-10 23:00:00+00:00,bearish,158.184,158.053,158.179,158.053,12.6
2026-03-11 00:00:00+00:00,bullish,158.223,157.918,158.184,158.053,13.1
2026-03-11 02:00:00+00:00,bearish,158.392,158.227,158.333,158.175,15.8
2026-03-11 05:00:00+00:00,bullish,158.179,158.061,158.255,158.096,15.9
2026-03-11 11:00:00+00:00,bullish,158.502,158.249,158.486,158.252,23.4
2026-03-11 13:00:00+00:00,bearish,158.648,158.474,158.626,158.312,31.4
2026-03-11 14:00:00+00:00,bullish,158.695,158.306,158.648,158.474,17.4
2026-03-11 16:00:00+00:00,bearish,158.862,158.768,158.853,158.672,18.1
2026-03-12 05:00:00+00:00,bullish,159.125,158.971,159.155,159.011,14.4
2026-03-12 08:00:00+00:00,bullish,158.941,158.671,158.997,158.783,21.4
2026-03-12 10:00:00+00:00,bullish,158.822,158.688,158.935,158.71,22.5
2026-03-12 11:00:00+00:00,bullish,158.743,158.567,158.822,158.688,13.4
2026-03-12 16:00:00+00:00,bearish,159.287,159.132,159.286,159.102,18.4
2026-03-12 17:00:00+00:00,bullish,159.345,159.114,159.287,159.132,15.5
2026-03-12 19:00:00+00:00,bearish,159.429,159.312,159.41,159.28,13.0
2026-03-12 20:00:00+00:00,bullish,159.416,159.295,159.429,159.312,11.7
2026-03-12 21:00:00+00:00,bullish,159.37,159.21,159.416,159.295,12.1
2026-03-12 22:00:00+00:00,bearish,159.421,159.25,159.37,159.21,16.0
2026-03-13 03:00:00+00:00,bearish,159.415,159.252,159.371,159.196,17.5
2026-03-13 05:00:00+00:00,bullish,159.505,159.317,159.683,159.346,33.7
2026-03-13 07:00:00+00:00,bearish,159.542,159.349,159.464,159.317,14.7
2026-03-13 09:00:00+00:00,bullish,159.493,159.251,159.531,159.327,20.4
2026-03-13 10:00:00+00:00,bearish,159.501,159.331,159.493,159.251,24.2
2026-03-13 12:00:00+00:00,bullish,159.419,159.207,159.448,159.286,16.2
2026-03-13 17:00:00+00:00,bearish,159.685,159.547,159.634,159.509,12.5
2026-03-16 03:00:00+00:00,bearish,159.639,159.47,159.604,159.407,19.7
2026-03-16 07:00:00+00:00,bullish,159.381,159.172,159.407,159.272,13.5
2026-03-16 09:00:00+00:00,bearish,159.382,159.247,159.372,159.222,15.0
2026-03-16 12:00:00+00:00,bullish,159.142,158.958,159.261,159.1,16.1
2026-03-16 13:00:00+00:00,bearish,159.175,158.9,159.142,158.958,18.4
2026-03-16 16:00:00+00:00,bearish,159.355,159.193,159.326,159.051,27.5
2026-03-16 17:00:00+00:00,bullish,159.301,159.131,159.355,159.193,16.2
2026-03-16 23:00:00+00:00,bearish,159.22,159.078,159.144,159.029,11.5
2026-03-17 03:00:00+00:00,bullish,159.404,159.275,159.428,159.314,11.4
2026-03-17 05:00:00+00:00,bullish,159.444,159.206,159.391,159.215,17.6
2026-03-17 06:00:00+00:00,bearish,159.494,159.342,159.444,159.206,23.8
2026-03-17 11:00:00+00:00,bullish,159.14,158.965,159.213,159.047,16.6
2026-03-17 12:00:00+00:00,bearish,159.153,158.965,159.14,158.965,17.5
2026-03-17 16:00:00+00:00,bearish,159.114,158.876,159.113,158.856,25.7
2026-03-17 19:00:00+00:00,bearish,159.064,158.979,159.047,158.892,15.5
2026-03-17 22:00:00+00:00,bearish,158.993,158.908,158.983,158.853,13.0
2026-03-17 23:00:00+00:00,bullish,158.979,158.871,158.993,158.908,8.5
2026-03-18 00:00:00+00:00,bullish,159.138,158.801,158.979,158.871,10.8
2026-03-18 06:00:00+00:00,bullish,158.779,158.566,158.816,158.653,16.3
2026-03-18 07:00:00+00:00,bearish,158.874,158.68,158.779,158.566,21.3
2026-03-18 09:00:00+00:00,bearish,159.048,158.895,158.988,158.76,22.8
2026-03-18 15:00:00+00:00,bullish,159.496,159.367,159.532,159.42,11.2
2026-03-18 16:00:00+00:00,bearish,159.514,159.396,159.496,159.367,12.9
2026-03-18 17:00:00+00:00,bearish,159.541,159.367,159.514,159.396,11.8
2026-03-18 18:00:00+00:00,bullish,159.731,159.255,159.541,159.367,17.4
2026-03-18 22:00:00+00:00,bearish,159.847,159.717,159.845,159.69,15.5
2026-03-19 02:00:00+00:00,bullish,159.705,159.543,159.815,159.582,23.3
2026-03-19 03:00:00+00:00,bearish,159.711,159.608,159.705,159.543,16.2
2026-03-19 04:00:00+00:00,bullish,159.675,159.589,159.711,159.608,10.3
2026-03-19 12:00:00+00:00,bearish,159.292,158.852,159.16,159.044,11.6
2026-03-19 14:00:00+00:00,bullish,158.425,158.062,158.939,158.12,81.9
2026-03-19 15:00:00+00:00,bearish,158.559,158.141,158.425,158.062,36.3
2026-03-20 00:00:00+00:00,bullish,157.983,157.803,157.989,157.806,18.3
2026-03-20 01:00:00+00:00,bullish,158.139,157.747,157.983,157.803,18.0
2026-03-20 04:00:00+00:00,bearish,158.413,158.343,158.401,158.276,12.5
2026-03-20 08:00:00+00:00,bullish,158.489,158.257,158.451,158.28,17.1
2026-03-20 10:00:00+00:00,bearish,158.899,158.681,158.861,158.45,41.1
2026-03-20 15:00:00+00:00,bullish,159.261,158.968,159.179,159.005,17.4
2026-03-20 18:00:00+00:00,bearish,159.386,159.185,159.36,159.142,21.8
2026-03-22 22:00:00+00:00,bearish,159.469,159.232,159.373,159.065,30.8
2026-03-23 00:00:00+00:00,bullish,159.523,159.013,159.304,159.106,19.8
2026-03-23 01:00:00+00:00,bearish,159.528,159.335,159.523,159.013,51.0
2026-03-23 02:00:00+00:00,bearish,159.587,159.415,159.528,159.335,19.3
2026-03-23 06:00:00+00:00,bearish,159.655,159.47,159.583,159.352,23.1
2026-03-23 07:00:00+00:00,bullish,159.626,159.381,159.655,159.47,18.5
2026-03-23 14:00:00+00:00,bullish,158.503,158.198,158.721,158.425,29.6
2026-03-23 16:00:00+00:00,bearish,158.844,158.592,158.767,158.216,55.1
2026-03-24 06:00:00+00:00,bullish,158.714,158.561,158.782,158.57,21.2
2026-03-24 09:00:00+00:00,bearish,158.773,158.613,158.667,158.429,23.8
2026-03-24 10:00:00+00:00,bearish,158.797,158.619,158.773,158.613,16.0
2026-03-24 11:00:00+00:00,bullish,158.793,158.616,158.797,158.619,17.8
2026-03-24 13:00:00+00:00,bearish,158.954,158.767,158.857,158.69,16.7
2026-03-24 18:00:00+00:00,bullish,159.167,158.851,159.187,158.916,27.1
2026-03-24 19:00:00+00:00,bullish,158.996,158.848,159.167,158.851,31.6
2026-03-24 20:00:00+00:00,bearish,159.033,158.367,158.996,158.848,14.8
2026-03-24 22:00:00+00:00,bearish,158.762,158.602,158.694,158.561,13.3
2026-03-25 06:00:00+00:00,bearish,159.044,158.952,159.019,158.884,13.5
2026-03-25 08:00:00+00:00,bearish,159.199,158.724,159.147,158.944,20.3
2026-03-25 10:00:00+00:00,bearish,158.972,158.848,158.961,158.725,23.6
2026-03-25 12:00:00+00:00,bullish,159.085,158.762,158.95,158.819,13.1
2026-03-25 14:00:00+00:00,bearish,159.202,158.996,159.161,158.937,22.4
2026-03-26 01:00:00+00:00,bearish,159.511,159.384,159.501,159.33,17.1
2026-03-26 03:00:00+00:00,bullish,159.528,159.408,159.537,159.435,10.2
2026-03-26 04:00:00+00:00,bullish,159.465,159.369,159.528,159.408,12.0
2026-03-26 06:00:00+00:00,bearish,159.505,159.281,159.49,159.373,11.7
